product_title,link,price,currency,pre_reduction,discount
Kids Smash 3.0 L V Ps,https://www.namshi.com//bahrain-en/buy-puma-kids-smash-3-0-l-v-ps/V6F03180935E4658819C6V/p/,11.73,BHD,21.57,-46%
Kids Gel-1130 Ps,https://www.namshi.com//bahrain-en/buy-asics-kids-gel-1130-ps/Z4D9C935ED45FC3CC033CZ/p/,31.87,BHD,36.32,-13%
Infant Tensaur Run 3.0 El,https://www.namshi.com//bahrain-en/buy-adidas-infant-tensaur-run-3-0-el/Z40FB1266F26B28DE237CZ/p/,15.25,BHD,20.49,-26%
Infant Flexfocus Modern Ac+,https://www.namshi.com//bahrain-en/buy-puma-infant-flexfocus-modern-ac/Z61D24DEA46F106AD0D87Z/p/,19.24,BHD,,
Kids Tensaur Run 3.0 El,https://www.namshi.com//bahrain-en/buy-adidas-kids-tensaur-run-3-0-el/ZCA5F1588943F86D7751BZ/p/,16.74,BHD,22.66,-27%
Kids Breakbase C,https://www.namshi.com//bahrain-en/buy-adidas-kids-breakbase-c/ZA2FF767C3B9495AF27F2Z/p/,18.9,BHD,22.66,-17%
Youth Cloud Play,https://www.namshi.com//bahrain-en/buy-on-running-youth-cloud-play/Z53BF282554F5EBE21443Z/p/,58.05,BHD,,
COURT BOROUGH LOW RECRAFT BPV,https://www.namshi.com//bahrain-en/buy-nike-court-borough-low-recraft-bpv/VCE5B86C58C494782B737V/p/,32.9,BHD,,
Air Jordan 1 Mid,https://www.namshi.com//bahrain-en/buy-jordan-air-jordan-1-mid/Z59C82454C4FBA0C206AAZ/p/,37.34,BHD,57.35,-35%
Nike Flex Runner 4,https://www.namshi.com//bahrain-en/buy-nike-nike-flex-runner-4/VED90BACEC206603F5591V/p/,27.2,BHD,,
Kids Smash 3.0 L V Ps,https://www.namshi.com//bahrain-en/buy-puma-kids-smash-3-0-l-v-ps/V5E94ACA3FA89FC3BB1AAV/p/,9.79,BHD,21.57,-55%
Kids Vl Court 3.0,https://www.namshi.com//bahrain-en/buy-adidas-kids-vl-court-3-0/Z60E284EB667DEB7416E2Z/p/,19.01,BHD,25.91,-27%
Youth Adizero Evo Sl,https://www.namshi.com//bahrain-en/buy-adidas-youth-adizero-evo-sl/VF9CA9FBEE04FDB2647F9V/p/,69.32,BHD,,
Adilette Sandals,https://www.namshi.com//bahrain-en/buy-adidas-adilette-sandals/V25DA5A5DF46D04AA4D3AV/p/,16.96,BHD,,
Unisex Kids BMW M Motorsport Drift Cat Decima motorsport shoe,https://www.namshi.com//bahrain-en/buy-bmw-motorsport-unisex-kids-bmw-m-motorsport-drift-cat-decima-motorsport-shoe/ZB998C33A9B409A9041F1Z/p/,11.99,BHD,37.51,-69%
Kids Handball Spezial,https://www.namshi.com//bahrain-en/buy-adidas-originals-kids-handball-spezial/Z7048E609A5A5EE9DFDDEZ/p/,17.76,BHD,30.24,-42%
Infant Summerflex I,https://www.namshi.com//bahrain-en/buy-adidas-infant-summerflex-i/VA0A72BB45CBA02F71469V/p/,19.69,BHD,22.66,-14%
